designation,nom_bore,pressureRating,flange_type,pipeOutsideDia,flangeOutsideDia,flangeThickness,raisedFaceDia,raisedFaceThick,boltSize,NOB,boltHoleSize,PCD,flange_mass,id
SANS1123 10NB 600/3,10,600,3,17.2,75,10,35,2,M10,4,11,50,-,e4e41feadfe94d90b6399d76f4373a39
SANS1123 15NB 600/3,15,600,3,21.3,80,10,40,2,M10,4,11,55,-,1e86fec5d2f6492696adb5d917315c9f
SANS1123 20NB 600/3,20,600,3,26.9,90,10,50,2,M10,4,11,65,-,bd153666638e4c25aa9a8ed57d4f4f75
SANS1123 25NB 600/3,25,600,3,33.7,100,10,60,2,M10,4,11,75,-,54cfce32a6294f84a2a6fa000ecf0454
SANS1123 32NB 600/3,32,600,3,42.4,120,10,70,2,M12,4,14,90,-,cedd72a4840f479db94fc19d84fd42ec
SANS1123 40NB 600/3,40,600,3,48.3,130,10,80,3,M12,4,14,100,-,2069e1d3e17e484ea23343bd3bdcecad
SANS1123 50NB 600/3,50,600,3,60.3,140,10,90,3,M12,4,14,110,-,f9fda2c85ca0483a9659e263bf556e26
SANS1123 65NB 600/3,65,600,3,76.1,160,10,110,3,M12,4,14,130,-,4fcaa61e8ad845e3b38dc53ba1245db9
SANS1123 80NB 600/3,80,600,3,88.9,190,10,128,3,M16,4,18,150,-,06698746d3c44e2abbd671e4fbd8849d
SANS1123 100NB 600/3,100,600,3,114.3,210,10,148,3,M16,4,18,170,-,1fcf3bc6b04e43ffac129ad1ae975ecf
SANS1123 125NB 600/3,125,600,3,139.7,240,12,178,3,M16,8,18,200,-,856b1a01d66d47b4b88f0f298910b0d9
SANS1123 150NB 600/3,150,600,3,168.3,265,12,202,3,M16,8,18,225,-,770cf3bedabe4f8eb554e783132b1de6
SANS1123 175NB 600/3,175,600,3,193.7,295,14,230,3,M16,8,18,255,-,806ccc39b28e49b6989b1373cd2a2701
SANS1123 200NB 600/3,200,600,3,219.1,320,14,258,3,M16,8,18,280,-,64cea187664d41fabc8fcbed98417dbd
SANS1123 225NB 600/3,225,600,3,244.5,345,16,285,3,M16,8,18,305,-,32325e88fa3445a5b7039ec7e7fe7d5d
SANS1123 250NB 600/3,250,600,3,273,375,16,312,3,M16,12,18,335,-,7a10fd3876854b40998b3b3e9fea456a
SANS1123 300NB 600/3,300,600,3,323.9,440,20,365,4,M20,12,22,395,-,b7cfa402c057468a89f239570c8cf22d
SANS1123 350NB 600/3,350,600,3,355.6,490,22,415,4,M20,12,22,445,-,f77d4f07e1244d1188ad4c8d01d7d5b3
SANS1123 400NB 600/3,400,600,3,406.4,540,22,465,4,M20,16,22,495,-,76ed9a54973643f9977b797f1c1bb30e
SANS1123 450NB 600/3,450,600,3,457.2,595,25,520,4,M20,16,22,550,-,ac87d552c3cb4875af7cade41a13b449
SANS1123 500NB 600/3,500,600,3,508,645,25,570,4,M20,20,22,600,-,1ae5756b416d4a2893db53a7b8aeda4c
SANS1123 550NB 600/3,550,600,3,559,705,28,620,5,M24,20,26,655,-,61b5c32d54274e34bfe30cfca82ab253
SANS1123 600NB 600/3,600,600,3,609.6,755,30,670,5,M24,20,26,705,-,992d6a56c03049ceaee267e24252d49c
SANS1123 10NB 1000/3,10,1000,3,17.2,90,10,40,2,M12,4,14,60,-,8b0f1d4a238a4e1ca5957a3596107704
SANS1123 15NB 1000/3,15,1000,3,21.3,95,10,45,2,M12,4,14,65,-,2ab11ea60aeb4f9ea72785e80fc2f79b
SANS1123 20NB 1000/3,20,1000,3,26.9,105,10,58,2,M12,4,14,75,-,fdbb1f134d69493f90e93148fb9ef337
SANS1123 25NB 1000/3,25,1000,3,33.7,115,10,68,2,M12,4,14,85,-,31da5f21d49c471fba22f9ee0b69bac4
SANS1123 32NB 1000/3,32,1000,3,42.4,140,10,78,2,M16,4,18,100,-,b993ceb829464ed8b905d7c4f4d816da
SANS1123 40NB 1000/3,40,1000,3,48.3,150,10,88,3,M16,4,18,110,-,2357e4d0eb744227b2a4e4ab46706216
SANS1123 50NB 1000/3,50,1000,3,60.3,165,10,102,3,M16,4,18,125,-,b5c30f6d971943e1b84bad0e8305a61b
SANS1123 65NB 1000/3,65,1000,3,76.1,185,12,122,3,M16,4,18,145,-,241bae835ae64ec1a6c570720f9a639d
SANS1123 80NB 1000/3,80,1000,3,88.9,200,12,138,3,M16,8,18,160,-,a9c21e6242a447c3a91210b248299e7c
SANS1123 100NB 1000/3,100,1000,3,114.3,220,12,158,3,M16,8,18,180,-,6ec69b434eec43ebab332f0acf9910c7
SANS1123 125NB 1000/3,125,1000,3,139.7,250,14,188,3,M16,8,18,210,-,de2a387f854342678188ddb319ae0b37
SANS1123 150NB 1000/3,150,1000,3,168.3,285,16,212,3,M20,8,22,240,-,9a3497a4b5a542cfb4212af979a955e6
SANS1123 175NB 1000/3,175,1000,3,193.7,315,16,242,3,M20,8,22,270,-,ccbc1c66f05e4464bcac5b20c209692b
SANS1123 200NB 1000/3,200,1000,3,219.1,340,18,268,3,M20,8,22,295,-,7b25952570404ea682bf98efc536738e
SANS1123 225NB 1000/3,225,1000,3,244.5,370,18,290,3,M20,8,22,325,-,d3f1c47165174f25b14eafb4b62d6405
SANS1123 250NB 1000/3,250,1000,3,273,395,20,320,3,M20,12,22,350,-,17ab383863d443aab81d9dd0c18be615
SANS1123 300NB 1000/3,300,1000,3,323.9,445,22,370,4,M20,12,22,400,-,b2313faeeb44425aaad545a10cb36ad9
SANS1123 350NB 1000/3,350,1000,3,355.6,505,25,430,4,M20,16,22,460,-,000913642cba4aeb98f2a9624fdfe81c
SANS1123 400NB 1000/3,400,1000,3,406.4,565,25,482,4,M24,16,26,515,-,0de33beb8a294d3c87d1e40900f76f4b
SANS1123 450NB 1000/3,450,1000,3,457.2,615,30,532,4,M24,20,26,565,-,c03deffd1b984dc6979d85a5fae5bb81
SANS1123 500NB 1000/3,500,1000,3,508,670,32,585,4,M24,20,26,620,-,0ecfc941d5384392acd0db83613e19f4
SANS1123 550NB 1000/3,550,1000,3,559,730,35,635,5,M24,20,26,675,-,560426810893447ba000e77017e0d767
SANS1123 600NB 1000/3,600,1000,3,609.6,780,38,685,5,M24,20,26,725,-,f3b0cc85551944fba8a2a12e6825e785
SANS1123 10NB 1600/3,10,1600,3,17.2,90,10,40,2,M12,4,14,60,-,8df8d91474a949bb8a46114bf200d5a9
SANS1123 15NB 1600/3,15,1600,3,21.3,95,10,45,2,M12,4,14,65,-,d2e6214f3d884ea5a270e803868e1deb
SANS1123 20NB 1600/3,20,1600,3,26.9,105,10,58,2,M12,4,14,75,-,7dc65e9c21b34b4599a3bf0e18c3cb1d
SANS1123 25NB 1600/3,25,1600,3,33.7,115,10,65,2,M12,4,14,85,-,6aee17f3cfb8435d8f88afbdad905349
SANS1123 32NB 1600/3,32,1600,3,42.5,140,10,78,2,M16,4,18,100,-,4ac7b135e38c4ee1b366bf0cd1595879
SANS1123 40NB 1600/3,40,1600,3,48.3,150,10,88,3,M16,4,18,110,-,37f34e1a61b84e66a5eb36925620ba22
SANS1123 50NB 1600/3,50,1600,3,60.3,165,12,102,3,M16,4,18,125,-,a35d91880b684910bc5727e1bdc56af6
SANS1123 65NB 1600/3,65,1600,3,76.1,185,12,122,3,M16,4,18,145,-,bc9d51ed6fc3428092b835b6afc2bed9
SANS1123 80NB 1600/3,80,1600,3,88.9,200,14,138,3,M16,8,18,160,-,3ae05cb2701843e792b3e61b7dda1363
SANS1123 100NB 1600/3,100,1600,3,114.3,220,14,158,3,M16,8,18,180,-,318745b722b544feb89397b9b1699529
SANS1123 125NB 1600/3,125,1600,3,139.7,250,16,188,3,M16,8,18,210,-,b08d62f6a99441ae869bf1cc13690b7a
SANS1123 150NB 1600/3,150,1600,3,168.3,285,18,212,3,M20,8,22,240,-,1f3e79d75ccd4960b13cb0428f2e0b8e
SANS1123 175NB 1600/3,175,1600,3,193.7,315,20,242,3,M20,8,22,270,-,7b0e2ee0226444ad98d7c540d8793ba2
SANS1123 200NB 1600/3,200,1600,3,219.1,340,22,268,3,M20,12,22,295,-,eced6fb7ca714d579c75beb907c6ce4e
SANS1123 225NB 1600/3,225,1600,3,244.5,370,22,294,3,M20,12,22,325,-,4f95e15991a34cf08411ba11a498dff0
SANS1123 250NB 1600/3,250,1600,3,273,405,25,320,3,M24,12,26,355,-,1e82e4bc3b2f418b8cbbfb6c19a8279e
SANS1123 300NB 1600/3,300,1600,3,323.9,460,28,378,4,M24,12,26,410,-,2fc150ee0ba1457f895056db30ead7ab
SANS1123 350NB 1600/3,350,1600,3,355.6,520,30,438,4,M24,16,26,470,-,aaa4a2d79bb94d0295c64f5dfa2d8f4d
SANS1123 400NB 1600/3,400,1600,3,406.4,580,35,490,4,M24,16,26,525,-,a06ae7e9224641ee9e87d02a2a37664e
SANS1123 450NB 1600/3,450,1600,3,457.2,640,40,550,4,M24,20,26,585,-,ff233ee139f24117b81ed25a230ae302
SANS1123 500NB 1600/3,500,1600,3,508,715,40,610,4,M30,20,33,650,-,be4afa0abeb741daaac4f5bbc7ed6416
SANS1123 550NB 1600/3,550,1600,3,559,775,-,670,5,M30,20,33,710,-,13fb9dc6780143dfbfe3473519dfa5df
SANS1123 600NB 1600/3,600,1600,3,609.6,840,50,725,5,M30,20,33,770,-,447354cc53514cbb90e52dfa7068bfd9
SANS1123 10NB 2500/3,10,2500,3,17.2,90,12,40,2,M12,4,14,60,-,3ceded45a1a14f07a409c655d73bec07
SANS1123 15NB 2500/3,15,2500,3,21.3,95,14,45,2,M12,4,14,65,-,8cfcba43d86a4cd2a336069edb3d4007
SANS1123 20NB 2500/3,20,2500,3,26.9,105,14,58,2,M12,4,14,75,-,607db2a69ba54aad9a11b25c61a27188
SANS1123 25NB 2500/3,25,2500,3,33.7,115,16,68,2,M12,4,14,85,-,638a8bf151c34d1381b01620eed63aa9
SANS1123 32NB 2500/3,32,2500,3,42.4,140,18,78,2,M16,4,18,100,-,5fc3e6c7d87741d0973c4e3658096a6b
SANS1123 40NB 2500/3,40,2500,3,48.3,150,20,88,3,M16,4,18,110,-,4aeb1d4c06da4e94acf9178460508863
SANS1123 50NB 2500/3,50,2500,3,60.3,165,20,102,3,M16,4,18,125,-,d2c8424254bf4a81af96edca7be48e66
SANS1123 65NB 2500/3,65,2500,3,76.1,185,22,122,3,M16,8,18,145,-,dc172bfbe6074197b09f734cf47c2ba1
SANS1123 80NB 2500/3,80,2500,3,88.9,200,22,138,3,M16,8,18,160,-,b87c89c811d5493daa8b499ad0bca45e
SANS1123 100NB 2500/3,100,2500,3,114.3,235,25,162,3,M20,8,22,190,-,b2137cbb0f344408963c53286017fe4f
SANS1123 125NB 2500/3,125,2500,3,139.7,270,28,188,3,M24,8,26,220,-,43b098817de243feaea0f8bafb29a263
SANS1123 150NB 2500/3,150,2500,3,168.3,300,30,218,3,M24,8,26,250,-,6cad2caa46734aaa8413d4267656664b
SANS1123 175NB 2500/3,175,2500,3,193.7,330,25,248,3,M24,12,26,280,-,a175a2aa2ca44974958751b437656840
SANS1123 200NB 2500/3,200,2500,3,219.1,360,28,278,3,M24,12,26,310,-,f06695f565f147979e5636ffff2b847b
SANS1123 225NB 2500/3,225,2500,3,244.5,395,30,306,3,M24,12,26,340,-,bace8d3e6324463c92f6a0f50b1692af
SANS1123 250NB 2500/3,250,2500,3,273,425,30,335,3,M24,12,26,370,-,c08bdf539e6b41d5a68ffd529ebf8568
SANS1123 300NB 2500/3,300,2500,3,323.9,485,32,395,4,M24,16,26,430,-,8af4f6e8f76542c9b907a070f3e1b9d9
SANS1123 350NB 2500/3,350,2500,3,355.6,555,35,450,4,M30,16,33,490,-,083cd5a322e14f4ba232de0210211eac
SANS1123 400NB 2500/3,400,2500,3,406.4,620,40,505,4,M30,16,33,550,-,77b93869d7a74281959dc4fdec21b052
SANS1123 450NB 2500/3,450,2500,3,457.2,670,45,555,4,M30,20,33,600,-,31bd5cf0481d4eea89f672488825b7ba
SANS1123 500NB 2500/3,500,2500,3,508,730,50,615,4,M30,20,33,660,-,a5f4a8dc7eb44319b8672e348c2cfcd5
SANS1123 550NB 2500/3,550,2500,3,559,785,55,670,58,M36,20,39,710,-,9ba3d68e3af14869aab2b204a02ce46b
SANS1123 600NB 2500/3,600,2500,3,609.6,845,60,720,5,M36,20,39,770,-,73b0c0b0677a48fd944913617fdcefe4
SANS1123 10NB 4000/3,10,4000,3,17.2,90,12,40,2,M12,4,14,60,-,160b2777746947c7a08d02bd37de10b9
SANS1123 15NB 4000/3,15,4000,3,21.3,95,14,45,2,M12,4,14,65,-,f5d7774d3b2843dcb5f3940a55ae636f
SANS1123 20NB 4000/3,20,4000,3,26.9,105,14,58,2,M12,4,14,75,-,206de4478252424d846209aa10ebb69b
SANS1123 25NB 4000/3,25,4000,3,33.7,115,16,68,2,M12,4,14,85,-,f42b3409506e4a73b53cd5634e8443f3
SANS1123 32NB 4000/3,32,4000,3,42.4,140,18,78,2,M16,4,18,100,-,6790892ecb8848a6b35741fda0855556
SANS1123 40NB 4000/3,40,4000,3,48.3,150,20,88,3,M16,4,18,110,-,04086c9980044e6290ede98bfd34addd
SANS1123 50NB 4000/3,50,4000,3,60.3,165,20,102,3,M16,4,18,125,-,1df610275e23444bb8fe6f194fd37c1f
SANS1123 65NB 4000/3,65,4000,3,76.1,185,22,122,3,M16,8,18,145,-,571d4549ec1648ccadc325b5c7227a11
SANS1123 80NB 4000/3,80,4000,3,88.9,200,22,138,3,M16,8,18,160,-,20502edb8c604ea18fcbb2c406c6b541
SANS1123 100NB 4000/3,100,4000,3,114.3,235,25,162,3,M20,8,22,190,-,b17279a53b384699993c4c3387cdd861
SANS1123 125NB 4000/3,125,4000,3,139.7,270,28,188,3,M24,8,26,220,-,d568c49191f8489ab29141a5f551ff3f
SANS1123 150NB 4000/3,150,4000,3,168.3,300,30,218,3,M24,8,26,250,-,f69dc437228d4f4e865569205122eafd
SANS1123 175NB 4000/3,175,4000,3,193.7,350,32,260,3,M24,12,26,295,-,d8bb87b9fb00468996e633101950d9d7
SANS1123 200NB 4000/3,200,4000,3,219.1,375,32,285,3,M24,12,26,320,-,cc34d8d07a0544fba506882563c52dc1
SANS1123 225NB 4000/3,225,4000,3,244.5,420,35,315,3,M30,12,33,355,-,0691a5b78e1a441cafb216ac393cd926
SANS1123 250NB 4000/3,250,4000,3,273,450,38,345,3,M30,12,33,385,-,2341dc09e6d9490a8c353cf8fb498e67
SANS1123 300NB 4000/3,300,4000,3,323.9,515,40,410,4,M30,16,33,450,-,32ba78263bf1416b96430eacfdbaea77
SANS1123 350NB 4000/3,350,4000,3,355.6,580,45,465,4,M30,16,33,510,-,d2ade9f226c74ae4abf21e77f099f0b9
SANS1123 400NB 4000/3,400,4000,3,406.4,660,50,535,4,M36,16,39,585,-,8f2cdbd501d7457c81173c93fa51c1a1
SANS1123 450NB 4000/3,450,4000,3,457.2,685,60,575,4,M36,20,39,610,-,b8d49e542a5d4f4ba2e0119230e74350
SANS1123 500NB 4000/3,500,4000,3,508,755,70,615,4,M36,20,39,670,-,3a80a71d54fc4b558e1dfbd48f958dfe
SANS1123 550NB 4000/3,550,4000,3,-,-,-,-,-,-,-,-,-,-,cc360dfe9e134a8d8a993ed7d8de787f
SANS1123 600NB 4000/3,600,4000,3,-,-,-,-,-,-,-,-,-,-,281218170cc14ad78259418940734e39
